Segment,carrier id,price,origin,dest,pickup time,delivery time,source?,target?,distance_to_target
A-B,1,18,A,B,8:00:00,8:30:00,,,210
A-C,2,21,A,C,8:00:00,8:30:00,,,203
A-G,3,32,A,G,9:30:00,10:00:00,,,198
A-G,4,34,A,G,9:00:00,10:00:00,,,198
B-N,5,15,B,N,8:00:00,9:00:00,,,186
B-E,6,32,B,E,10:00:00,11:00:00,,,174
A-B-E,7,40,A,E,8:00:00,8:30:00,,,174
A-C-E,8,25,A,E,10:00:00,11:00:00,,,174
C-E,9,48,C,E,11:10:00,11:50:00,,,174
C-E,10,44,C,E,12:30:00,13:00:00,,,174
G-F,11,12,G,F,8:30:00,10:00:00,,,178
G-P,12,105,G,P,11:00:00,11:20:00,,,65
G-P,13,85,G,P,14:00:00,14:20:00,,,65
G-P,14,85,G,P,14:00:00,14:20:00,,,65
A-G-P,15,120,A,P,11:30:00,12:10:00,,,65
N-L,16,7,N,L,13:15:00,13:45:00,,,177
N-L,17,9,N,L,16:00:00,16:40:00,,,177
N-L,18,20,N,L,11:30:00,12:10:00,,,177
E-L,19,36,E,L,14:00:00,14:40:00,,,177
F-I,20,25,F,I,9:30:00,11:00:00,,,152
F-I,21,15,F,I,9:30:00,11:00:00,,,152
G-F-I,22,35,G,I,13:00:00,13:40:00,,,152
G-F-I,23,40,G,I,11:30:00,12:10:00,,,152
A-G-F-I,24,58,A,I,12:00:30,13:15:00,,,152
C-E-I,25,31,C,I,14:20:00,14:40:00,,,152
E-I,26,43,E,I,14:40:00,15:40:00,,,152
N-L-I,27,26,N,I,13:00:00,13:40:00,,,152
B-N-L-I,28,40,B,I,12:00:30,13:15:00,,,152
B-E-I,29,50,B,I,11:00:00,11:20:00,,,152
A-B-E-I,30,59,A,I,13:00:00,13:40:00,,,152
A-B-N-L-I,31,80,A,I,12:30:00,13:00:00,,,152
A-B-N-L-I,32,74,A,I,16:10:00,16:50:00,,,152
L-O,33,24,L,O,14:40:00,15:40:00,,,147
E-L-O,34,20,E,O,16:10:00,16:50:00,,,147
E-L-O,35,25,E,O,13:00:00,13:40:00,,,147
C-E-L-O,36,38,C,O,8:00:00,8:30:00,,,147
B-E-L-O,37,45,B,O,9:30:00,10:00:00,,,147
N-L-O,38,40,N,O,8:00:00,9:00:00,,,147
B-N-L-O,39,40,B,O,13:00:00,13:40:00,,,147
N-L-I-J,40,26,N,J,13:15:00,13:45:00,,,144
N-L-O,41,45,N,O,8:00:00,9:00:00,,,147
E-L,42,24,E,L,13:15:00,13:45:00,,,177
E-L,43,18,E,L,14:20:00,14:40:00,,,177
E-L,44,20,E,L,14:40:00,15:40:00,,,177
C-E-L,45,30,C,L,8:30:00,9:00:00,,,177
C-E-L,46,25,C,L,16:10:00,16:50:00,,,177
I-J,47,15,I,J,13:00:00,13:40:00,,,144
N-L-I-J,48,26,N,J,13:15:00,13:45:00,,,144
N-L-I-J,49,36,N,J,13:15:00,13:45:00,,,144
F-I-K,50,45,F,K,16:10:00,16:50:00,,,130
I-K,51,22,I,K,16:00:00,16:20:00,,,130
I-K,52,25,I,K,11:30:00,12:20:00,,,130
F-I-K,53,45,F,K,16:10:00,16:50:00,,,130
L-I-K,54,31,L,K,12:00:30,13:15:00,,,130
L-I-K,55,29,L,K,15:10:00,15:40:00,,,130
L-I-K,56,34,L,K,14:20:00,15:00:00,,,130
N-L-I-K,57,35,N,K,11:10:00,11:50:00,,,130
C-E-I-K,58,52,C,K,16:10:00,16:50:00,,,130
G-F-I-K,59,50,G,K,13:15:00,13:45:00,,,130
A-C-E-I-K,60,75,A,K,13:00:00,13:40:00,,,130
A-B-E-I-K,61,90,A,K,8:00:00,8:30:00,,,130
A-B-E-I-K,62,105,A,K,9:30:00,10:00:00,,,130
J-M,63,55,J,M,11:00:00,11:20:00,,,70
J-M,64,60,J,M,14:20:00,15:00:00,,,70
K-M,65,37,K,M,11:10:00,11:50:00,,,70
E-M,66,62,E,M,16:10:00,16:50:00,,,70
I-K-M,67,67,I,M,14:20:00,15:00:00,,,70
F-I-J-M,68,67,F,M,11:10:00,11:50:00,,,70
E-I-J-M,69,70,E,M,9:30:00,10:00:00,,,70
L-I-K-M,70,70,L,M,8:30:00,11:30:00,,,70
