Segment,carrier id,price,origin,dest,pickup time,delivery time,source?,target?,distance_to_target
A-B,1,28,A,B,8:00:00,8:30:00,,,210
A-B,2,44,A,B,11:30:00,12:20:00,,,210
A-B,3,46,A,B,11:10:00,11:50:00,,,210
A-B,4,25,A,B,10:00:00,10:30:00,,,210
A-C,5,25,A,C,8:00:00,8:30:00,,,203
A-G,6,24,A,G,8:30:00,11:30:00,,,198
B-N,7,15,B,N,8:30:00,9:00:00,,,186
A-B-E,8,40,A,E,10:00:00,11:00:00,,,174
A-B-N,9,33,A,N,11:30:00,12:00:00,,,186
G-P,10,80,G,P,9:30:00,11:00:00,,,65
G-P,11,90,G,P,11:10:00,11:50:00,,,65
G-P,12,85,G,P,14:00:00,14:20:00,,,65
A-G-F,13,38,A,F,11:30:00,12:20:00,,,178
A-G-P,14,85,A,P,11:10:00,11:50:00,,,65
A-G-P,15,105,A,P,10:00:00,10:30:00,,,65
N-L,16,19,N,L,16:00:00,16:40:00,,,177
A-B-N-L,17,45,A,L,13:00:00,13:40:00,,,177
B-E-I,18,36,B,I,14:20:00,15:00:00,,,152
B-E-I,19,50,B,I,11:00:00,11:20:00,,,152
A-B-N-L-I,20,74,A,I,16:10:00,16:50:00,,,152
L-O,21,24,L,O,16:00:00,16:40:00,,,147
E-L-O,22,20,E,O,12:00:00,12:30:00,,,147
C-E-L-O,23,38,C,O,8:00:00,8:30:00,,,147
B-E-L-O,24,45,B,O,9:30:00,10:00:00,,,147
N-L-O,25,28,N,O,8:30:00,11:30:00,,,147
E-L,26,12,E,L,14:40:00,15:40:00,,,177
C-E-L,27,16,C,L,15:20:00,15:50:00,,,177
C-E-L,28,25,C,L,16:10:00,16:50:00,,,177
A-C-E-I-J,29,65,A,J,14:20:00,14:40:00,,,144
I-K,30,14,I,K,8:00:00,8:15:00,,,130
I-K,31,22,I,K,16:00:00,16:20:00,,,130
I-K,32,25,I,K,11:30:00,12:20:00,,,130
N-L-I-K,33,35,N,K,11:10:00,11:50:00,,,130
B-N-L-I-K,34,60,B,K,11:00:00,11:20:00,,,130
B-E-I-K,35,54,B,K,13:00:00,13:40:00,,,130
A-G-F-I-K,36,69,A,K,12:00:00,12:30:00,,,130
A-B-E-I-K,37,90,A,K,8:00:00,8:30:00,,,130
A-B-N-L-I-K,38,120,A,K,8:30:00,11:30:00,,,130
J-M,39,48,J,M,8:00:00,9:00:00,,,70
J-M,40,55,J,M,11:00:00,11:20:00,,,70
G-F-I-J-M,41,78,G,M,16:55:00,17:40:00,,,70
G-F-I-J-M,42,74,G,M,18:10:00,18:40:00,,,70
A-C-E-M,43,110,A,M,18:20:00,18:50:00,,,70
A-G-F-I-J-M,44,123,A,M,15:20:00,15:50:00,,,70
A-G-F-I-J-M,45,140,A,M,12:00:00,12:30:00,,,70
O-P,46,58,O,P,16:57:00,17:20:00,,,65
O-P,47,66,O,P,18:10:00,18:40:00,,,65
L-O-P,48,70,L,P,16:10:00,16:50:00,,,65
P-Q,49,10,P,Q,12:30:00,13:00:00,,,69
A-G-P-Q,50,110,A,Q,13:00:00,13:40:00,,,69
N-L-O-P-Q,51,75,N,Q,14:20:00,15:00:00,,,69
E-L-O-P-Q,52,70,E,Q,11:10:00,11:50:00,,,69
B-N-L-O-P-Q,53,90,B,Q,11:00:00,11:20:00,,,69
M-T,54,13,M,T,14:00:00,14:40:00,,,49
J-M-T,55,60,J,T,18:20:00,18:50:00,,,49
K-M-T,56,60,K,T,16:10:00,16:50:00,,,49
I-J-M-T,57,65,I,T,15:10:00,15:40:00,,,49
C-E-M-T,58,94,C,T,16:57:00,17:20:00,,,49
C-E-I-J-M-T,59,110,C,T,18:20:00,18:50:00,,,49
A-C-E-M-T,60,150,A,T,16:10:00,16:50:00,,,49
P-R,61,18,P,R,12:00:30,13:15:00,,,36
T-R,62,8,T,R,8:00:00,8:30:00,,,36
M-T-R,63,21,M,R,13:00:00,13:40:00,,,36
M-T-R,64,25,M,R,8:00:00,8:30:00,,,36
M-T-R,65,30,M,R,9:30:00,10:00:00,,,36
E-M-T-R,66,90,E,R,13:00:00,13:40:00,,,36
L-I-J-M-T-R,67,92,L,R,12:00:30,13:15:00,,,36
C-E-I-J-M-T-R,68,119,C,R,13:00:00,13:40:00,,,36
I-K-U,69,67,I,U,11:00:00,11:20:00,,,53
I-K-U,70,63,I,U,14:00:00,14:40:00,,,53
R-D,71,23,R,D,12:00:30,13:15:00,,,0
Q-D,72,43,Q,D,15:10:00,15:40:00,,,0
O-P-R-D,73,100,O,D,8:00:00,8:30:00,,,0
G-P-R-D,74,130,G,D,11:00:00,11:20:00,,,0
E-M-D,75,110,E,D,16:57:00,17:20:00,,,0
